GEO_ID,NAME,,P001001,,,,,,
id,Geographic Area Name,Zip Clean,Total,,,,,,Source
8710000US0691606,"ZCTA5 91606, California",91606,44958,,,,,,
8710000US0691607,"ZCTA5 91607, California",91607,27927,,,,,,
8710000US0691608,"ZCTA5 91608, California",91608,0,,,,,,
8710000US0691701,"ZCTA5 91701, California",91701,38976,,,,,,
8710000US0691702,"ZCTA5 91702, California",91702,59705,,,,,,
8710000US0691706,"ZCTA5 91706, California",91706,76571,,,,,,
8710000US0691708,"ZCTA5 91708, California",91708,3369,,,,,,
8710000US0691709,"ZCTA5 91709, California",91709,74796,,,,,,
8710000US0691710,"ZCTA5 91710, California",91710,80358,,,,,,
8710000US0691711,"ZCTA5 91711, California",91711,35705,,,,,,
8710000US0691722,"ZCTA5 91722, California",91722,34409,,,,,,
8710000US0691723,"ZCTA5 91723, California",91723,18275,,,,,,
8710000US0691724,"ZCTA5 91724, California",91724,26184,,,,,,
8710000US0691730,"ZCTA5 91730, California",91730,66925,,,,,,
8710000US0691731,"ZCTA5 91731, California",91731,29591,,,,,,
8710000US0691739,"ZCTA5 91739, California",91739,34794,,,,,,
8710000US0691732,"ZCTA5 91732, California",91732,61386,,,,,,
8710000US0691733,"ZCTA5 91733, California",91733,43896,,,,,,
8710000US0691737,"ZCTA5 91737, California",91737,24740,,,,,,
8710000US0691740,"ZCTA5 91740, California",91740,25356,,,,,,
8710000US0691741,"ZCTA5 91741, California",91741,25824,,,,,,
8710000US0691744,"ZCTA5 91744, California",91744,85040,,,,,,
8710000US0691745,"ZCTA5 91745, California",91745,54013,,,,,,
8710000US0691746,"ZCTA5 91746, California",91746,30485,,,,,,
8710000US0691748,"ZCTA5 91748, California",91748,45406,,,,,,
8710000US0691750,"ZCTA5 91750, California",91750,33249,,,,,,
8710000US0691752,"ZCTA5 91752, California",91752,30047,,,,,,
8710000US0691754,"ZCTA5 91754, California",91754,32742,,,,,,
8710000US0691755,"ZCTA5 91755, California",91755,27496,,,,,,
8710000US0691759,"ZCTA5 91759, California",91759,476,,,,,,
8710000US0691761,"ZCTA5 91761, California",91761,56913,,,,,,
8710000US0691762,"ZCTA5 91762, California",91762,55857,,,,,,
8710000US0691763,"ZCTA5 91763, California",91763,36375,,,,,,
8710000US0691764,"ZCTA5 91764, California",91764,54086,,,,,,
8710000US0691765,"ZCTA5 91765, California",91765,46457,,,,,,
8710000US0691766,"ZCTA5 91766, California",91766,71599,,,,,,
8710000US0691767,"ZCTA5 91767, California",91767,48068,,,,,,
8710000US0691768,"ZCTA5 91768, California",91768,34537,,,,,,
8710000US0691770,"ZCTA5 91770, California",91770,62097,,,,,,
8710000US0691773,"ZCTA5 91773, California",91773,33119,,,,,,
8710000US0691775,"ZCTA5 91775, California",91775,23988,,,,,,
8710000US0692333,"ZCTA5 92333, California",92333,472,,,,,,
8710000US0692335,"ZCTA5 92335, California",92335,95397,,,,,,
8710000US0692339,"ZCTA5 92339, California",92339,885,,,,,,
8710000US0692336,"ZCTA5 92336, California",92336,88419,,,,,,
8710000US0692337,"ZCTA5 92337, California",92337,37849,,,,,,
8710000US0692338,"ZCTA5 92338, California",92338,12,,,,,,
8710000US0692341,"ZCTA5 92341, California",92341,410,,,,,,
8710000US0692342,"ZCTA5 92342, California",92342,6379,,,,,,
8710000US0692344,"ZCTA5 92344, California",92344,20769,,,,,,
8710000US0692345,"ZCTA5 92345, California",92345,78715,,,,,,
8710000US0692346,"ZCTA5 92346, California",92346,54923,,,,,,
8710000US0692347,"ZCTA5 92347, California",92347,1692,,,,,,
8710000US0692352,"ZCTA5 92352, California",92352,8004,,,,,,
8710000US0692354,"ZCTA5 92354, California",92354,21559,,,,,,
8710000US0692356,"ZCTA5 92356, California",92356,6455,,,,,,
8710000US0692358,"ZCTA5 92358, California",92358,707,,,,,,
8710000US0692359,"ZCTA5 92359, California",92359,8103,,,,,,
8710000US0692363,"ZCTA5 92363, California",92363,5321,,,,,,
8710000US0692364,"ZCTA5 92364, California",92364,90,,,,,,
8710000US0690260,"ZCTA5 90260, California",90260,34924,,,,,,
8710000US0690262,"ZCTA5 90262, California",90262,69745,,,,,,
8710000US0690263,"ZCTA5 90263, California",90263,1612,,,,,,
8710000US0690265,"ZCTA5 90265, California",90265,18116,,,,,,
8710000US0690266,"ZCTA5 90266, California",90266,35135,,,,,,
8710000US0690270,"ZCTA5 90270, California",90270,27372,,,,,,
8710000US0690272,"ZCTA5 90272, California",90272,22986,,,,,,
8710000US0690274,"ZCTA5 90274, California",90274,25209,,,,,,
8710000US0690275,"ZCTA5 90275, California",90275,41804,,,,,,
8710000US0690277,"ZCTA5 90277, California",90277,35293,,,,,,
8710000US0690278,"ZCTA5 90278, California",90278,40071,,,,,,
8710000US0690280,"ZCTA5 90280, California",90280,94396,,,,,,
8710000US0690290,"ZCTA5 90290, California",90290,6368,,,,,,
8710000US0690291,"ZCTA5 90291, California",90291,28341,,,,,,
8710000US0690292,"ZCTA5 90292, California",90292,21576,,,,,,
8710000US0690293,"ZCTA5 90293, California",90293,12132,,,,,,
8710000US0690301,"ZCTA5 90301, California",90301,36568,,,,,,
8710000US0690302,"ZCTA5 90302, California",90302,29415,,,,,,
8710000US0690303,"ZCTA5 90303, California",90303,26176,,,,,,
8710000US0690304,"ZCTA5 90304, California",90304,28210,,,,,,
8710000US0690305,"ZCTA5 90305, California",90305,14853,,,,,,
8710000US0690401,"ZCTA5 90401, California",90401,6722,,,,,,
8710000US0690402,"ZCTA5 90402, California",90402,12250,,,,,,
8710000US0690403,"ZCTA5 90403, California",90403,24525,,,,,,
8710000US0691776,"ZCTA5 91776, California",91776,38475,,,,,,
8710000US0691780,"ZCTA5 91780, California",91780,34332,,,,,,
8710000US0691784,"ZCTA5 91784, California",91784,25938,,,,,,
8710000US0691786,"ZCTA5 91786, California",91786,51165,,,,,,
8710000US0691789,"ZCTA5 91789, California",91789,43079,,,,,,
8710000US0691790,"ZCTA5 91790, California",91790,44907,,,,,,
8710000US0691791,"ZCTA5 91791, California",91791,32414,,,,,,
8710000US0691792,"ZCTA5 91792, California",91792,30854,,,,,,
8710000US0691801,"ZCTA5 91801, California",91801,52735,,,,,,
8710000US0691803,"ZCTA5 91803, California",91803,30322,,,,,,
8710000US0691901,"ZCTA5 91901, California",91901,17403,,,,,,
8710000US0691902,"ZCTA5 91902, California",91902,17653,,,,,,
8710000US0691905,"ZCTA5 91905, California",91905,1700,,,,,,
8710000US0691906,"ZCTA5 91906, California",91906,3627,,,,,,
8710000US0691910,"ZCTA5 91910, California",91910,75802,,,,,,
8710000US0691911,"ZCTA5 91911, California",91911,82999,,,,,,
8710000US0691913,"ZCTA5 91913, California",91913,40971,,,,,,
8710000US0691914,"ZCTA5 91914, California",91914,15448,,,,,,
8710000US0691915,"ZCTA5 91915, California",91915,24659,,,,,,
8710000US0691916,"ZCTA5 91916, California",91916,1622,,,,,,
8710000US0691917,"ZCTA5 91917, California",91917,992,,,,,,
8710000US0691931,"ZCTA5 91931, California",91931,592,,,,,,
8710000US0691932,"ZCTA5 91932, California",91932,25718,,,,,,
8710000US0691934,"ZCTA5 91934, California",91934,737,,,,,,
8710000US0691935,"ZCTA5 91935, California",91935,8624,,,,,,
8710000US0691941,"ZCTA5 91941, California",91941,31779,,,,,,
8710000US0691942,"ZCTA5 91942, California",91942,38069,,,,,,
8710000US0691945,"ZCTA5 91945, California",91945,25460,,,,,,
